AcadYr,Major,Level,NumRecords,School
2012,Architecture,Undergraduate,275,Davis
2011,Undeclared,Undergraduate,659,Davis
2011,Other/Interdisc.,Undergraduate,1248,Davis
2011,Multiple Majors,Undergraduate,899,Davis
2011,Social Sciences,Undergraduate,5811,Davis
2011,Physical Sciences,Undergraduate,1670,Davis
2011,Other Health Science,Undergraduate,81,Davis
2011,Life Sciences,Undergraduate,7904,Davis
2011,Engineering/CS,Undergraduate,3262,Davis
2011,Education,Undergraduate,33,Davis
2011,Business,Undergraduate,752,Davis
2011,Arts & Humanities,Undergraduate,2404,Davis
2011,Architecture,Undergraduate,315,Davis
2010,Undeclared,Undergraduate,738,Davis
2010,Other/Interdisc.,Undergraduate,1651,Davis
2010,Multiple Majors,Undergraduate,938,Davis
2010,Social Sciences,Undergraduate,5648,Davis
2010,Physical Sciences,Undergraduate,1547,Davis
2010,Other Health Science,Undergraduate,110,Davis
2010,Life Sciences,Undergraduate,7642,Davis
2010,Engineering/CS,Undergraduate,3048,Davis
2010,Education,Undergraduate,32,Davis
2010,Business,Undergraduate,434,Davis
2010,Arts & Humanities,Undergraduate,2552,Davis
2010,Architecture,Undergraduate,330,Davis
2009,Undeclared,Undergraduate,736,Davis
2009,Other/Interdisc.,Undergraduate,2195,Davis
2009,Multiple Majors,Undergraduate,915,Davis
2009,Social Sciences,Undergraduate,5639,Davis
2009,Physical Sciences,Undergraduate,1454,Davis
2009,Other Health Science,Undergraduate,115,Davis
2009,Life Sciences,Undergraduate,7494,Davis
2009,Engineering/CS,Undergraduate,2892,Davis
2009,Education,Undergraduate,25,Davis
2009,Arts & Humanities,Undergraduate,2791,Davis
2009,Architecture,Undergraduate,370,Davis
2008,Undeclared,Undergraduate,746,Davis
2008,Other/Interdisc.,Undergraduate,2201,Davis
2008,Multiple Majors,Undergraduate,736,Davis
2008,Social Sciences,Undergraduate,5494,Davis
2008,Physical Sciences,Undergraduate,1487,Davis
2008,Other Health Science,Undergraduate,115,Davis
2008,Life Sciences,Undergraduate,7314,Davis
2008,Engineering/CS,Undergraduate,2821,Davis
2008,Education,Undergraduate,1,Davis
2008,Arts & Humanities,Undergraduate,2939,Davis
2008,Architecture,Undergraduate,334,Davis
2007,Undeclared,Undergraduate,510,Davis
2007,Other/Interdisc.,Undergraduate,2141,Davis
2007,Multiple Majors,Undergraduate,799,Davis
2007,Social Sciences,Undergraduate,5295,Davis
2007,Physical Sciences,Undergraduate,1449,Davis
2007,Other Health Science,Undergraduate,105,Davis
2007,Life Sciences,Undergraduate,7217,Davis
2007,Engineering/CS,Undergraduate,2844,Davis
2007,Arts & Humanities,Undergraduate,2809,Davis
2007,Architecture,Undergraduate,309,Davis
2016,Other/Interdisc.,Graduate,426,Davis
2016,Multiple Majors,Graduate,50,Davis
2016,Social Sciences,Graduate,516,Davis
2016,Physical Sciences,Graduate,708,Davis
2016,Other Health Science,Graduate,869,Davis
2016,Medicine,Graduate,437,Davis
2016,Life Sciences,Graduate,1197,Davis
2016,Law,Graduate,502,Davis
2016,Engineering/CS,Graduate,1038,Davis
2016,Education,Graduate,244,Davis
2016,Business,Graduate,465,Davis
2016,Arts & Humanities,Graduate,425,Davis
2016,Architecture,Graduate,26,Davis
2015,Other/Interdisc.,Graduate,436,Davis
2015,Multiple Majors,Graduate,64,Davis
2015,Social Sciences,Graduate,504,Davis
2015,Physical Sciences,Graduate,716,Davis
2015,Other Health Science,Graduate,786,Davis
2015,Medicine,Graduate,433,Davis
2015,Life Sciences,Graduate,1159,Davis
2015,Law,Graduate,495,Davis
2015,Engineering/CS,Graduate,993,Davis
2015,Education,Graduate,287,Davis
2015,Business,Graduate,491,Davis
2015,Arts & Humanities,Graduate,413,Davis
2015,Architecture,Graduate,25,Davis
2014,Other/Interdisc.,Graduate,436,Davis
2014,Multiple Majors,Graduate,67,Davis
2014,Social Sciences,Graduate,511,Davis
2014,Physical Sciences,Graduate,684,Davis
2014,Other Health Science,Graduate,761,Davis
2014,Medicine,Graduate,433,Davis
2014,Life Sciences,Graduate,1150,Davis
2014,Law,Graduate,503,Davis
2014,Engineering/CS,Graduate,996,Davis
2014,Education,Graduate,281,Davis
2014,Business,Graduate,519,Davis
2014,Arts & Humanities,Graduate,414,Davis
2014,Architecture,Graduate,25,Davis
2013,Other/Interdisc.,Graduate,410,Davis
2013,Multiple Majors,Graduate,76,Davis
2013,Social Sciences,Graduate,496,Davis
2013,Physical Sciences,Graduate,654,Davis
2013,Other Health Science,Graduate,719,Davis
2013,Medicine,Graduate,414,Davis
2013,Life Sciences,Graduate,1099,Davis
2013,Law,Graduate,498,Davis
2013,Engineering/CS,Graduate,978,Davis
2013,Education,Graduate,291,Davis
2013,Business,Graduate,540,Davis
2013,Arts & Humanities,Graduate,416,Davis
2013,Architecture,Graduate,23,Davis
2012,Other/Interdisc.,Graduate,385,Davis
2012,Multiple Majors,Graduate,84,Davis
2012,Social Sciences,Graduate,496,Davis
2012,Physical Sciences,Graduate,593,Davis
2012,Other Health Science,Graduate,692,Davis
2012,Medicine,Graduate,411,Davis
2012,Life Sciences,Graduate,1122,Davis
2012,Law,Graduate,568,Davis
2012,Engineering/CS,Graduate,947,Davis
2012,Education,Graduate,275,Davis
2012,Business,Graduate,522,Davis
2012,Arts & Humanities,Graduate,411,Davis
2012,Architecture,Graduate,31,Davis
2011,Other/Interdisc.,Graduate,366,Davis
2011,Multiple Majors,Graduate,84,Davis
2011,Social Sciences,Graduate,487,Davis
2011,Physical Sciences,Graduate,575,Davis
2011,Other Health Science,Graduate,682,Davis
2011,Medicine,Graduate,407,Davis
2011,Life Sciences,Graduate,1127,Davis
2011,Law,Graduate,596,Davis
2011,Engineering/CS,Graduate,985,Davis
2011,Education,Graduate,281,Davis
2011,Business,Graduate,499,Davis
2011,Arts & Humanities,Graduate,426,Davis
2011,Architecture,Graduate,40,Davis
2010,Other/Interdisc.,Graduate,370,Davis
2010,Multiple Majors,Graduate,83,Davis
2010,Social Sciences,Graduate,487,Davis
2010,Physical Sciences,Graduate,592,Davis
2010,Other Health Science,Graduate,628,Davis
2010,Medicine,Graduate,397,Davis
